Wednesday,18/12/2024,0
Thursday,19/12/2024,0
Friday,20/12/2024,0
Saturday,21/12/2024,0
Sunday,22/12/2024,0
Monday,23/12/2024,0
Tuesday,24/12/2024,0
Wednesday,25/12/2024,0
Thursday,26/12/2024,0
Friday,27/12/2024,0
Saturday,28/12/2024,0
Sunday,29/12/2024,0
Monday,30/12/2024,0
Tuesday,31/12/2024,0
Wednesday,01/01/2025,0
Thursday,02/01/2025,0
Friday,03/01/2025,0
Saturday,04/01/2025,0
Sunday,05/01/2025,0
Monday,06/01/2025,0
Tuesday,07/01/2025,2
Wednesday,08/01/2025,3
Thursday,09/01/2025,4
Friday,10/01/2025,5
Saturday,11/01/2025,0
Sunday,12/01/2025,0
Monday,13/01/2025,6
Tuesday,14/01/2025,7
Wednesday,15/01/2025,8
Thursday,16/01/2025,9
Friday,17/01/2025,10
Saturday,18/01/2025,0
Sunday,19/01/2025,0
Monday,20/01/2025,1
Tuesday,21/01/2025,2
Wednesday,22/01/2025,3
Thursday,23/01/2025,4
Friday,24/01/2025,5
Saturday,25/01/2025,0
Sunday,26/01/2025,0
Monday,27/01/2025,6
Tuesday,28/01/2025,7
Wednesday,29/01/2025,8
Thursday,30/01/2025,9
Friday,31/01/2025,10
Saturday,01/02/2025,0
Sunday,02/02/2025,0
Monday,03/02/2025,1
Tuesday,04/02/2025,2
Wednesday,05/02/2025,3
Thursday,06/02/2025,4
Friday,07/02/2025,5
Saturday,08/02/2025,0
Sunday,09/02/2025,0
Monday,10/02/2025,6
Tuesday,11/02/2025,7
Wednesday,12/02/2025,8
Thursday,13/02/2025,9
Friday,14/02/2025,10
Saturday,15/02/2025,0
Sunday,16/02/2025,0
Monday,17/02/2025,0
Tuesday,18/02/2025,0
Wednesday,19/02/2025,0
Thursday,20/02/2025,0
Friday,21/02/2025,0
Saturday,22/02/2025,0
Sunday,23/02/2025,0
Monday,24/02/2025,1
Tuesday,25/02/2025,2
Wednesday,26/02/2025,3
Thursday,27/02/2025,0
Friday,28/02/2025,0
Saturday,01/03/2025,0
Sunday,02/03/2025,0
Monday,03/03/2025,6
Tuesday,04/03/2025,7
Wednesday,05/03/2025,8
Thursday,06/03/2025,9
Friday,07/03/2025,10
Saturday,08/03/2025,0
Sunday,09/03/2025,0
Monday,10/03/2025,1
Tuesday,11/03/2025,2
Wednesday,12/03/2025,3
Thursday,13/03/2025,4
Friday,14/03/2025,5
Saturday,15/03/2025,0
Sunday,16/03/2025,0
Monday,17/03/2025,6
Tuesday,18/03/2025,7
Wednesday,19/03/2025,8
Thursday,20/03/2025,9
Friday,21/03/2025,10
Saturday,22/03/2025,0
Sunday,23/03/2025,0
Monday,24/03/2025,1
Tuesday,25/03/2025,2
Wednesday,26/03/2025,3
Thursday,27/03/2025,4
Friday,28/03/2025,5
Saturday,29/03/2025,0
Sunday,30/03/2025,0
Monday,31/03/2025,6
Tuesday,01/04/2025,7
Wednesday,02/04/2025,8
Thursday,03/04/2025,9
Friday,04/04/2025,10
Saturday,05/04/2025,0
Sunday,06/04/2025,0
Monday,07/04/2025,0
Tuesday,08/04/2025,0
Wednesday,09/04/2025,0
Thursday,10/04/2025,0
Friday,11/04/2025,0
Saturday,12/04/2025,0
Sunday,13/04/2025,0
Monday,14/04/2025,0
Tuesday,15/04/2025,0
Wednesday,16/04/2025,0
Thursday,17/04/2025,0
Friday,18/04/2025,0
Saturday,19/04/2025,0
Sunday,20/04/2025,0
Monday,21/04/2025,0
Tuesday,22/04/2025,2
Wednesday,23/04/2025,3
Thursday,24/04/2025,4
Friday,25/04/2025,5
Saturday,26/04/2025,0
Sunday,27/04/2025,0
Monday,28/04/2025,6
Tuesday,29/04/2025,7
Wednesday,30/04/2025,8
Thursday,01/05/2025,9
Friday,02/05/2025,10
Saturday,03/05/2025,0
Sunday,04/05/2025,0
Monday,05/05/2025,0
Tuesday,06/05/2025,2
Wednesday,07/05/2025,3
Thursday,08/05/2025,4
Friday,09/05/2025,5
Saturday,10/05/2025,0
Sunday,11/05/2025,0
Monday,12/05/2025,6
Tuesday,13/05/2025,7
Wednesday,14/05/2025,8
Thursday,15/05/2025,9
Friday,16/05/2025,10
Saturday,17/05/2025,0
Sunday,18/05/2025,0
Monday,19/05/2025,1
Tuesday,20/05/2025,2
Wednesday,21/05/2025,3
Thursday,22/05/2025,4
Friday,23/05/2025,5
Saturday,24/05/2025,0
Sunday,25/05/2025,0
Monday,26/05/2025,0
Tuesday,27/05/2025,7
Wednesday,28/05/2025,8
Thursday,29/05/2025,9
Friday,30/05/2025,10
Saturday,31/05/2025,0
Sunday,01/06/2025,0
Monday,02/06/2025,1
Tuesday,03/06/2025,2
Wednesday,04/06/2025,3
Thursday,05/06/2025,4
Friday,06/06/2025,5
Saturday,07/06/2025,0
Sunday,08/06/2025,0
Monday,09/06/2025,6
Tuesday,10/06/2025,7
Wednesday,11/06/2025,8
Thursday,12/06/2025,9
Friday,13/06/2025,10
Saturday,14/06/2025,0
Sunday,15/06/2025,0
Monday,16/06/2025,1
Tuesday,17/06/2025,2
Wednesday,18/06/2025,3
Thursday,19/06/2025,4
Friday,20/06/2025,0
Saturday,21/06/2025,0
Sunday,22/06/2025,0
Monday,23/06/2025,0
Tuesday,24/06/2025,0
Wednesday,25/06/2025,0
Thursday,26/06/2025,0
Friday,27/06/2025,0
Saturday,28/06/2025,0
Sunday,29/06/2025,0
Monday,30/06/2025,0
Tuesday,01/07/2025,0
Wednesday,02/07/2025,0
Thursday,03/07/2025,0
Friday,04/07/2025,0
Saturday,05/07/2025,0
Sunday,06/07/2025,0
Monday,07/07/2025,0
Tuesday,08/07/2025,0
Wednesday,09/07/2025,0
Thursday,10/07/2025,0
Friday,11/07/2025,0
Saturday,12/07/2025,0
Sunday,13/07/2025,0
Monday,14/07/2025,0
Tuesday,15/07/2025,0
Wednesday,16/07/2025,0
Thursday,17/07/2025,0
Friday,18/07/2025,0
Saturday,19/07/2025,0
Sunday,20/07/2025,0
Monday,21/07/2025,0
Tuesday,22/07/2025,0
Wednesday,23/07/2025,0
Thursday,24/07/2025,0
Friday,25/07/2025,0
Saturday,26/07/2025,0
Sunday,27/07/2025,0
